RK,NAME,,SALARY
280,Terrence Jones, PF,"$1,618,680"
281,Shane Larkin, PG,"$1,606,080"
282,Tyler Ennis, PG,"$1,590,720"
283,Andrew Nicholson, PF,"$1,545,840"
284,Sergey Karasev, SG,"$1,533,840"
285,Gary Harris, SG,"$1,519,200"
286,Ronny Turiaf, C,"$1,500,000"
287,Miroslav Raduljica, C,"$1,500,000"
288,Evan Fournier, SG,"$1,483,920"
289,Donatas Motiejunas, PF,"$1,483,920"
290,Tony Snell, SF,"$1,472,400"
RK,NAME,,SALARY
291,Bruno Caboclo, SF,"$1,458,360"
292,Scotty Hopson, SG,"$1,450,878"
293,Willie Green, SG,"$1,448,490"
294,Lamar Odom, PF,"$1,448,490"
295,Mike James, PG,"$1,448,490"
296,Jared Sullinger, C,"$1,424,520"
297,Gorgui Dieng, C,"$1,413,480"
298,Mitch McGary, PF,"$1,400,040"
299,Victor Claver, PF,"$1,370,000"
300,Mason Plumlee, C,"$1,357,080"
RK,NAME,,SALARY
301,Jordan Adams, SG,"$1,344,120"
302,Melvin Ely, C,"$1,316,809"
303,John Jenkins, SG,"$1,312,920"
304,Josh Powell, PF,"$1,310,286"
305,Ronnie Brewer, SF,"$1,310,286"
306,Solomon Hill, SF,"$1,302,840"
307,Rodney Hood, SG,"$1,290,360"
308,Alan Anderson, SG,"$1,276,061"
309,Tim Hardaway Jr., SG,"$1,250,640"
310,Hasheem Thabeet, C,"$1,250,000"
RK,NAME,,SALARY
311,Pero Antic, PF,"$1,250,000"
312,Shabazz Napier, PG,"$1,238,640"
313,Aaron Gray, C,"$1,227,985"
314,Shawne Williams, SF,"$1,227,985"
315,Shavlik Randolph, PF,"$1,227,985"
316,Tony Wroten, SG,"$1,210,080"
317,Reggie Bullock, SF,"$1,200,720"
318,Clint Capela, PF,"$1,189,200"
319,Miles Plumlee, C,"$1,169,880"
320,Andre Roberson, SG,"$1,160,880"
321,P.J. Hairston, SF,"$1,149,720"
322,Brandon Rush, SF,"$1,145,685"
323,Hilton Armstrong, PF,"$1,145,685"
324,Cartier Martin, PF,"$1,145,685"
325,Arnett Moultrie, PF,"$1,136,160"
326,Perry Jones, SF,"$1,129,200"
327,Rudy Gobert, C,"$1,127,400"
328,Marquis Teague, PG,"$1,120,920"
329,Festus Ezeli, C,"$1,112,880"
330,Archie Goodwin, SG,"$1,112,280"
RK,NAME,,SALARY
331,C.J. Wilcox, SG,"$1,109,760"
332,Nemanja Nedovic, PG,"$1,104,240"
333,Damjan Rudez, SF,"$1,100,000"
334,Kyle Anderson, SF,"$1,093,680"
335,Kyle Singler, SF,"$1,090,000"
336,Xavier Henry, SG,"$1,082,000"
337,Robert Covington, SF,"$1,000,000"
338,Garrett Temple, SG,"$981,084"
339,Ed Davis, C,"$981,084"
340,Al-Farouq Aminu, SF,"$981,084"
RK,NAME,,SALARY
341,Alexis Ajinca, C,"$981,084"
342,Luke Babbitt, SF,"$981,084"
343,Jon Leuer, PF,"$967,500"
344,Josh Harrellson, C,"$948,163"
345,Joey Dorsey, PF,"$948,163"
346,Donald Sloan, PG,"$948,163"
347,E'Twaun Moore, SG,"$948,163"
348,Drew Gooden, PF,"$915,243"
349,Jason Maxiell, PF,"$915,243"
350,Jeff Taylor, SF,"$915,243"
RK,NAME,,SALARY
351,Jannero Pargo, PG,"$915,243"
352,Ryan Hollins, C,"$915,243"
353,Nazr Mohammed, C,"$915,243"
354,Sebastian Telfair, PG,"$915,243"
355,Glen Davis, PF,"$915,243"
356,Rashard Lewis, PF,"$915,243"
357,Jae Crowder, SF,"$915,243"
358,J.J. Barea, PG,"$909,859"
359,Devyn Marble, SF,"$884,879"
360,Jerami Grant, SF,"$884,879"
361,Joe Harris, SG,"$884,879"
362,Robbie Hummel, SF,"$880,000"
363,Allen Crabbe, SG,"$862,000"
364,Ish Smith, PG,"$861,405"
365,Damien Inglis, SF,"$820,000"
366,Isaiah Canaan, PG,"$816,842"
367,Glen Rice Jr., SG,"$816,482"
